date,player,agent,kills,deaths,assists,headshots,rounds_won,won
2023-09-02,Dylan,Omen,13,15,5,3,13,true
2023-09-03,Dylan,Brimstone,12,9,7,2,2,false
2023-09-04,Dylan,Brimstone,19,11,11,9,13,true
2023-09-05,Dylan,Omen,15,15,11,8,7,false
2023-09-06,Dylan,Astra,15,16,6,4,13,true
2023-09-07,Dylan,Omen,14,8,5,9,2,false
2023-09-08,Dylan,Brimstone,18,10,8,7,13,true
2023-09-09,Dylan,Omen,16,8,10,7,13,true
2023-09-10,Dylan,Astra,17,10,12,3,7,false
2023-09-11,Dylan,Astra,18,9,7,5,13,true
2023-09-12,Dylan,Omen,12,16,10,5,13,true
2023-09-13,Dylan,Astra,15,14,9,6,1,false
2023-09-14,Dylan,Omen,11,11,10,4,13,true
2023-09-15,Dylan,Omen,15,14,12,8,7,false
2023-09-16,Dylan,Astra,17,13,7,6,13,true
2023-09-17,Dylan,Omen,13,13,5,3,13,true
2023-09-18,Dylan,Brimstone,19,6,4,8,1,false
2023-09-19,Dylan,Brimstone,19,10,11,2,0,false
2023-09-20,Dylan,Astra,9,11,6,4,13,true
2023-09-21,Dylan,Omen,13,8,11,9,13,true
