date,player,map,start_side,kills,deaths,assists,mvps,won
2023-09-02,Kiara,Mirage,T,21,6,2,3,true
2023-09-03,Kiara,Ancient,T,25,11,7,2,true
2023-09-04,Kiara,Ancient,CT,24,10,6,0,false
2023-09-05,Kiara,Inferno,CT,18,10,0,4,true
2023-09-06,Kiara,Inferno,T,23,9,0,0,true
2023-09-07,Kiara,Dust2,T,12,12,7,4,false
2023-09-08,Kiara,Dust2,CT,20,17,5,2,false
2023-09-09,Kiara,Dust2,CT,25,14,7,2,false
2023-09-10,Kiara,Nuke,CT,21,10,5,0,true
2023-09-11,Kiara,Dust2,CT,12,15,2,0,false
2023-09-12,Kiara,Inferno,T,24,17,1,0,true
2023-09-13,Kiara,Dust2,T,17,9,3,0,true
2023-09-14,Kiara,Inferno,T,20,8,4,1,true
2023-09-15,Kiara,Nuke,CT,13,8,6,0,false
2023-09-16,Kiara,Ancient,CT,12,11,4,0,false
2023-09-17,Kiara,Inferno,CT,23,15,4,1,false
2023-09-18,Kiara,Mirage,CT,10,10,6,0,false
2023-09-19,Kiara,Dust2,T,21,14,6,2,false
2023-09-20,Kiara,Dust2,T,23,9,7,2,true
2023-09-21,Kiara,Inferno,CT,25,16,1,3,false
