date,player,champion,role,kills,deaths,assists,cs,vision_score,won
2023-09-02,Noé,Nautilus,Support,4,8,12,58,60,true
2023-09-03,Noé,Leona,Support,2,4,16,71,76,true
2023-09-04,Noé,Thresh,Support,6,2,21,68,69,true
2023-09-05,Noé,Rakan,Support,3,2,22,53,70,false
2023-09-06,Noé,Nautilus,Support,3,4,13,55,56,false
2023-09-07,Noé,Leona,Support,3,4,21,63,80,false
2023-09-08,Noé,Leona,Support,4,5,15,48,70,true
2023-09-09,Noé,Rakan,Support,5,2,20,35,79,false
2023-09-10,Noé,Thresh,Support,5,3,11,64,76,false
2023-09-11,Noé,Leona,Support,0,3,13,62,65,true
2023-09-12,Noé,Nautilus,Support,4,8,11,64,75,false
2023-09-13,Noé,Leona,Support,4,5,11,30,58,false
2023-09-14,Noé,Rakan,Support,1,5,15,43,85,false
2023-09-15,Noé,Rakan,Support,1,7,22,35,85,false
2023-09-16,Noé,Rakan,Support,1,2,19,38,62,true
2023-09-17,Noé,Thresh,Support,0,6,15,36,84,true
2023-09-18,Noé,Thresh,Support,4,2,18,60,80,true
2023-09-19,Noé,Leona,Support,5,8,14,48,70,false
2023-09-20,Noé,Nautilus,Support,1,2,17,65,78,true
2023-09-21,Noé,Nautilus,Support,2,4,20,73,71,false
